,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
1402,Rise of the Tomb Raider,XOne,2015.0,Adventure,Square Enix,0.55,0.7,0.02,0.11,1.38,86.0,102.0,8.0,1288.0,Crystal Dynamics,M
1403,Duke Nukem: Time to Kill,PS,1998.0,Shooter,Take-Two Interactive,0.77,0.54,0.0,0.07,1.38,,,,,,
1404,Sonic Generations,X360,2011.0,Platform,Sega,0.71,0.53,0.0,0.13,1.38,77.0,49.0,8.3,340.0,"Sega, Sonic Team",E
1405,Dave Mirra Freestyle BMX 2,PS2,2001.0,Sports,Acclaim Entertainment,0.67,0.53,0.0,0.18,1.38,81.0,21.0,8.1,18.0,"Z-Axis, Ltd.",T
1406,Bakugan: Battle Brawlers,DS,2009.0,Action,Activision,1.26,0.02,0.0,0.1,1.38,60.0,6.0,6.7,7.0,Now Production,E
1407,LEGO Indiana Jones: The Original Adventures,PS2,2008.0,Action,LucasArts,0.6,0.01,0.0,0.76,1.37,77.0,12.0,8.4,16.0,Traveller's Tales,E10+
1408,Deus Ex: Human Revolution,X360,2011.0,Shooter,Square Enix,0.76,0.47,0.02,0.12,1.37,89.0,70.0,8.3,684.0,Eidos Montreal,M
1409,A Collection of Activision Classic Games for the Atari 2600,PS,1998.0,Misc,Activision,0.76,0.52,0.0,0.09,1.37,,,,,,
1410,Final Fantasy XII: Revenant Wings,DS,2007.0,Role-Playing,Square Enix,0.33,0.41,0.54,0.1,1.37,81.0,44.0,6.1,60.0,"Square Enix, Think and Feel",E10+
1411,Call of Duty: Black Ops,Wii,2010.0,Shooter,Activision,0.8,0.45,0.0,0.12,1.37,80.0,25.0,5.8,87.0,Treyarch,M
1412,Deus Ex: Human Revolution,PS3,2011.0,Shooter,Square Enix,0.5,0.59,0.07,0.22,1.37,89.0,50.0,8.2,682.0,Eidos Montreal,M
1413,Star Wars Knights of the Old Republic II: The Sith Lords,XB,2004.0,Role-Playing,Activision,0.99,0.33,0.0,0.05,1.37,86.0,67.0,8.6,140.0,Obsidian Entertainment,T
1414,Pocket Monsters Stadium,N64,1998.0,Strategy,Nintendo,0.0,0.0,1.37,0.0,1.37,,,,,,
1415,The Sims 2,PSP,2005.0,Simulation,Electronic Arts,0.49,0.55,0.0,0.33,1.37,65.0,17.0,6.9,32.0,Maxis,T
1416,Dead Rising 2,PS3,2010.0,Action,Capcom,0.43,0.56,0.15,0.21,1.36,80.0,54.0,6.7,178.0,Blue Castle Games,M
1417,Ridge Racer 7,PS3,2006.0,Racing,Namco Bandai Games,0.24,0.7,0.16,0.26,1.36,78.0,45.0,7.1,52.0,Namco Bandai Games,E
1418,Tom Clancy's Ghost Recon 2,XB,2004.0,Shooter,Ubisoft,0.86,0.45,0.0,0.06,1.36,80.0,53.0,8.9,58.0,Red Storm Entertainment,T
1419,Need for Speed: The Run,X360,2011.0,Action,Electronic Arts,0.63,0.57,0.0,0.15,1.36,68.0,65.0,6.0,160.0,Black Box,T
1420,Crash Bandicoot 2: N-Tranced,GBA,2003.0,Platform,Vivendi Games,0.63,0.66,0.0,0.07,1.36,75.0,21.0,7.8,30.0,Vicarious Visions,E
1421,Titanfall,X360,2014.0,Shooter,Electronic Arts,0.87,0.34,0.02,0.13,1.36,83.0,21.0,5.9,371.0,Bluepoint Games,M
1422,SingStar Abba,PS2,2008.0,Misc,Sony Computer Entertainment,0.23,0.04,0.0,1.09,1.36,64.0,11.0,,,SCEE London Studio,T
1423,Gradius,NES,1986.0,Shooter,Konami Digital Entertainment,0.27,0.08,1.0,0.01,1.36,,,,,,
1424,Dragon Quest III: Soshite Densetsu e...,SNES,1996.0,Role-Playing,Enix Corporation,0.0,0.0,1.36,0.0,1.36,,,,,,
1425,Centipede,2600,1981.0,Shooter,Atari,1.26,0.08,0.0,0.01,1.36,,,,,,
1426,Dead to Rights,PS2,2002.0,Shooter,Electronic Arts,0.67,0.52,0.0,0.17,1.36,73.0,20.0,8.9,36.0,Namco,M
1427,WWE '13,PS3,2012.0,Action,THQ,0.51,0.6,0.0,0.25,1.35,76.0,24.0,8.1,99.0,THQ,T
1428,Dance Dance Revolution (Japan),PS,1999.0,Simulation,Konami Digital Entertainment,0.0,0.0,1.26,0.09,1.35,,,,,,
1429,Hasbro Family Game Night 2,Wii,2009.0,Misc,Electronic Arts,0.7,0.52,0.0,0.13,1.35,63.0,16.0,6.3,6.0,Electronic Arts,E
1430,Madden NFL 98,PS,1997.0,Sports,Electronic Arts,1.29,0.03,0.0,0.03,1.35,,,,,,
1431,Gardening Mama,DS,2009.0,Puzzle,505 Games,0.79,0.42,0.01,0.13,1.35,60.0,17.0,9.3,4.0,Taito Corporation,E
1432,Burnout Paradise,X360,2008.0,Racing,Electronic Arts,0.63,0.57,0.01,0.14,1.35,88.0,68.0,6.9,279.0,Criterion Games,E10+
1433,Middle-Earth: Shadow of Mordor,XOne,2014.0,Action,Warner Bros. Interactive Entertainment,0.73,0.5,0.01,0.12,1.35,87.0,12.0,8.0,585.0,Monolith Productions,M
1434,MotorStorm: Pacific Rift,PS3,2008.0,Racing,Sony Computer Entertainment,0.43,0.65,0.02,0.25,1.35,82.0,63.0,8.0,318.0,Evolution Studios,T
1435,Samurai Warriors,PS2,2004.0,Action,Electronic Arts,0.22,0.05,1.06,0.02,1.35,73.0,37.0,8.7,23.0,Omega Force,T
1436,Battlefield 4,PC,2013.0,Shooter,Electronic Arts,0.39,0.87,0.0,0.1,1.35,81.0,52.0,6.0,3517.0,EA DICE,M
1437,The Simpsons: Hit & Run,XB,2003.0,Racing,Vivendi Games,0.7,0.58,0.0,0.07,1.35,,,,,,
1438,Gears of War 4,XOne,2016.0,Shooter,Microsoft Game Studios,0.78,0.44,0.0,0.12,1.35,84.0,96.0,6.2,815.0,The Coalition,M
1439,SaGa Frontier,PS,1997.0,Role-Playing,SquareSoft,0.15,0.04,1.07,0.09,1.35,,,,,,
1440,SingStar Party,PS2,2004.0,Misc,Sony Computer Entertainment,0.0,1.04,0.0,0.31,1.35,,,,,,
1441,FIFA Soccer 08,PSP,2007.0,Sports,Electronic Arts,0.2,0.76,0.0,0.39,1.35,79.0,7.0,7.4,15.0,EA Canada,E
1442,FIFA Soccer 09,PSP,2008.0,Sports,Electronic Arts,0.23,0.73,0.02,0.37,1.35,84.0,8.0,8.9,21.0,EA Canada,E
1443,Disney Princess: Enchanted Journey,Wii,2007.0,Adventure,Disney Interactive Studios,1.22,0.03,0.0,0.09,1.35,,,4.3,4.0,Papaya Studios,E
1444,FIFA Soccer 08,X360,2007.0,Sports,Electronic Arts,0.31,0.89,0.01,0.14,1.35,82.0,43.0,7.9,57.0,EA Canada,E
1445,Test Drive,PS2,2002.0,Racing,Atari,0.95,0.21,0.01,0.18,1.34,73.0,19.0,7.4,23.0,Pitbull Syndicate,T
1446,Devil May Cry 4,X360,2008.0,Action,Capcom,0.79,0.34,0.08,0.13,1.34,84.0,61.0,8.0,248.0,Capcom,M
1447,Tom Clancy's Rainbow Six: Vegas 2,PS3,2008.0,Shooter,Ubisoft,0.66,0.44,0.04,0.21,1.34,81.0,32.0,7.9,93.0,Ubisoft Montreal,M
1448,Metroid: Other M,Wii,2010.0,Action,Nintendo,0.85,0.27,0.13,0.1,1.34,79.0,71.0,6.5,482.0,Team Ninja,T
1449,Crysis 2,X360,2011.0,Action,Electronic Arts,0.71,0.49,0.02,0.12,1.34,84.0,72.0,7.5,533.0,Crytek,M
1450,Chrono Trigger,DS,2008.0,Role-Playing,Square Enix,0.61,0.16,0.49,0.08,1.34,92.0,57.0,8.9,440.0,TOSE,E10+
1451,Marvel vs. Capcom 3: Fate of Two Worlds,PS3,2011.0,Fighting,Capcom,0.81,0.28,0.11,0.14,1.34,84.0,56.0,7.3,147.0,Capcom,T
1452,Mortal Kombat 3,GEN,1994.0,Fighting,Acclaim Entertainment,1.03,0.27,0.0,0.04,1.34,,,,,,
1453,Doom 3,XB,2005.0,Shooter,Activision,0.85,0.43,0.0,0.06,1.34,88.0,71.0,7.4,116.0,Vicarious Visions,M
1454,Tom Clancy's Rainbow Six: Siege,XOne,2015.0,Shooter,Ubisoft,0.77,0.45,0.0,0.12,1.34,74.0,24.0,6.9,252.0,Ubisoft Montreal,M
1455,F1 2010,PS3,2010.0,Racing,Codemasters,0.25,0.75,0.08,0.26,1.34,84.0,46.0,7.8,83.0,Codemasters Birmingham,E
1456,Monster Hunter Freedom,PSP,2005.0,Role-Playing,Capcom,0.24,0.03,1.03,0.04,1.34,71.0,34.0,8.6,78.0,Capcom,T
1457,Donkey Kong Jungle Beat,GC,2004.0,Platform,Nintendo,0.84,0.22,0.24,0.04,1.34,80.0,49.0,8.3,30.0,Nintendo,E10+
1458,Need for Speed Carbon,PS2,2006.0,Racing,Electronic Arts,1.22,0.05,0.05,0.01,1.34,74.0,26.0,8.4,60.0,EA Canada,E10+
1459,Lost Planet: Extreme Condition,X360,2006.0,Shooter,Capcom,1.09,0.04,0.1,0.1,1.34,79.0,76.0,7.1,187.0,Capcom,T
1460,Command & Conquer: Red Alert 2,PC,2000.0,Strategy,Electronic Arts,1.32,0.02,0.0,0.0,1.34,,,,,,
1461,NBA 2K15,PS3,2014.0,Sports,Take-Two Interactive,0.87,0.21,0.02,0.24,1.34,,,3.5,22.0,Visual Concepts,E
1462,Max Payne 2: The Fall of Max Payne,PS2,2003.0,Shooter,Take-Two Interactive,0.65,0.51,0.0,0.17,1.34,73.0,27.0,8.2,63.0,Rockstar Vienna,M
1463,Battlefield: Bad Company,PS3,2008.0,Shooter,Electronic Arts,0.76,0.35,0.05,0.18,1.34,84.0,50.0,8.1,203.0,EA DICE,T
1464,MVP Baseball 2004,PS2,2004.0,Sports,Electronic Arts,1.1,0.06,0.0,0.18,1.34,90.0,28.0,8.6,51.0,EA Sports,E
1465,Yokai Watch 3,3DS,2016.0,Action,Level 5,0.0,0.0,1.33,0.0,1.33,,,,,,
1466,Ratchet & Clank: Up Your Arsenal (Weekly american sales),PS2,2004.0,Platform,Sony Computer Entertainment,1.27,0.05,0.0,0.02,1.33,,,,,,
1467,Alan Wake,X360,2010.0,Action,Microsoft Game Studios,0.66,0.5,0.05,0.13,1.33,83.0,100.0,8.1,1156.0,Remedy Entertainment,T
1468,Spider-Man: The Movie,GBA,2002.0,Action,Activision,0.92,0.35,0.01,0.05,1.33,,,,,,
1469,WWF War Zone,N64,1998.0,Fighting,Acclaim Entertainment,1.08,0.24,0.0,0.02,1.33,,,,,,
1470,Tony Hawk's Pro Skater,GB,2000.0,Sports,Activision,0.9,0.38,0.01,0.05,1.33,,,,,,
1471,The Sims: Bustin' Out,GBA,2003.0,Simulation,Electronic Arts,0.93,0.35,0.0,0.06,1.33,,,,,,
1472,Triple Play 2001,PS,2000.0,Sports,Electronic Arts,0.74,0.5,0.0,0.09,1.33,,,,,,
1473,Metroid Prime 2: Echoes,GC,2004.0,Shooter,Nintendo,0.87,0.35,0.07,0.04,1.33,92.0,60.0,8.8,279.0,Retro Studios,T
1474,The Elder Scrolls V: Skyrim,PS4,2016.0,Role-Playing,Bethesda Softworks,0.48,0.59,0.04,0.21,1.33,,,,,,
1475,Corvette,PS2,2004.0,Racing,TDK Mediactive,0.65,0.51,0.0,0.17,1.33,57.0,15.0,6.5,21.0,Steel Monkeys,E
1476,WWE SmackDown vs Raw 2008,PS3,2007.0,Fighting,THQ,0.62,0.49,0.01,0.2,1.33,74.0,27.0,7.3,41.0,Yuke's,T
1477,Skylanders SWAP Force,X360,2013.0,Platform,Activision,0.86,0.34,0.0,0.12,1.32,83.0,37.0,5.7,45.0,Vicarious Visions,E10+
1478,Grand Theft Auto: Chinatown Wars,DS,2009.0,Action,Take-Two Interactive,0.58,0.56,0.05,0.14,1.32,93.0,85.0,8.3,280.0,Rockstar Leeds,M
1479,UFC Undisputed 2010,X360,2010.0,Fighting,THQ,0.9,0.31,0.0,0.11,1.32,84.0,70.0,6.7,80.0,Yuke's,T
1480,World of Warcraft: Wrath of the Lich King,PC,2008.0,Role-Playing,Activision,0.01,0.13,0.0,1.18,1.32,91.0,47.0,7.5,930.0,Blizzard Entertainment,T
1481,Gyromite,NES,1985.0,Puzzle,Nintendo,0.73,0.16,0.4,0.03,1.32,,,,,,
1482,TOCA 2: Touring Cars,PS,1998.0,Racing,Codemasters,0.03,1.16,0.02,0.11,1.32,,,,,,
1483,NFL 2K3,PS2,2002.0,Sports,Atari,1.06,0.08,0.0,0.18,1.32,93.0,20.0,7.4,25.0,Visual Concepts,E
1484,Assassin's Creed III: Liberation,PSV,2012.0,Action,Ubisoft,0.53,0.48,0.06,0.24,1.32,70.0,71.0,7.2,318.0,Ubisoft,M
1485,Fighting Force,PS,1997.0,Fighting,Eidos Interactive,0.73,0.5,0.0,0.09,1.32,,,,,,
1486,Petz Wild Animals: Dolphinz,DS,2007.0,Simulation,Ubisoft,0.71,0.48,0.0,0.13,1.32,,,,,Magic Pockets,E
1487,Mega Man Battle Network 4: Red Sun / Blue Moon,GBA,2003.0,Role-Playing,Capcom,0.31,0.04,0.96,0.01,1.32,,,,,,
1488,Your Shape: Fitness Evolved,X360,2010.0,Sports,Ubisoft,0.79,0.41,0.0,0.11,1.32,73.0,32.0,7.5,25.0,Ubisoft Montreal,E
1489,Need for Speed Underground Rivals,PSP,2005.0,Racing,Electronic Arts,0.69,0.37,0.02,0.24,1.32,74.0,36.0,8.5,38.0,Team Fusion,E
1490,Madden NFL 97,PS,1996.0,Sports,Electronic Arts,0.73,0.5,0.0,0.09,1.32,,,,,,
1491,The ICO & Shadow of the Colossus Collection,PS3,2011.0,Adventure,Sony Computer Entertainment,0.67,0.34,0.13,0.17,1.31,,,,,,
1492,TNN Motor Sports Hardcore 4x4,PS,1996.0,Racing,ASC Games,0.73,0.5,0.0,0.09,1.31,,,,,,
1493,MAG: Massive Action Game,PS3,2010.0,Shooter,Sony Computer Entertainment,0.77,0.29,0.09,0.16,1.31,,,,,,
1494,IHRA Drag Racing 2,PS2,2002.0,Racing,Bethesda Softworks,0.64,0.5,0.0,0.17,1.31,,,7.4,63.0,Bethesda Softworks,E
1495,Rage,PS3,2011.0,Shooter,Bethesda Softworks,0.47,0.58,0.06,0.2,1.31,81.0,37.0,6.2,353.0,id Software,M
1496,LEGO Harry Potter: Years 1-4,PS3,2010.0,Action,Warner Bros. Interactive Entertainment,0.55,0.55,0.0,0.21,1.31,79.0,42.0,8.0,52.0,Traveller's Tales,E10+
1497,Madagascar,PS2,2005.0,Platform,Activision,0.78,0.45,0.0,0.07,1.31,69.0,25.0,7.4,25.0,Toys for Bob,E10+
1498,The Witcher 3: Wild Hunt,XOne,2015.0,Role-Playing,Namco Bandai Games,0.69,0.5,0.0,0.11,1.31,91.0,13.0,9.2,3963.0,CD Projekt Red Studio,M
1499,Rugrats Studio Tour,PS,1999.0,Adventure,THQ,0.57,0.67,0.0,0.07,1.31,,,,,,
1500,Pitfall II: Lost Caverns,2600,1983.0,Platform,Activision,1.22,0.07,0.0,0.02,1.31,,,,,,
1501,Turok: Evolution,PS2,2002.0,Shooter,Acclaim Entertainment,0.64,0.5,0.0,0.17,1.31,61.0,20.0,7.3,27.0,Acclaim,M
1502,[Prototype],X360,2009.0,Action,Activision,0.84,0.35,0.0,0.12,1.31,78.0,83.0,7.8,356.0,Radical Entertainment,M
1503,Burnout 3: Takedown,XB,2004.0,Racing,Electronic Arts,0.84,0.43,0.0,0.04,1.31,94.0,76.0,7.2,139.0,Criterion Games,T
1504,The Beatles: Rock Band,X360,2009.0,Misc,MTV Games,0.97,0.23,0.0,0.11,1.3,89.0,76.0,8.6,127.0,Harmonix Music Systems,T
1505,Adventure,2600,,Adventure,Atari,1.21,0.08,0.0,0.01,1.3,,,,,,
1506,Yu-Gi-Oh! The Sacred Cards,GBA,2002.0,Role-Playing,Konami Digital Entertainment,0.94,0.35,0.0,0.02,1.3,,,,,,
1507,NBA Live 07,PS2,2006.0,Sports,Electronic Arts,1.07,0.04,0.02,0.17,1.3,63.0,12.0,6.0,39.0,EA Sports,E
1508,Yoshi's Woolly World,WiiU,2015.0,Platform,Nintendo,0.62,0.47,0.11,0.1,1.3,78.0,83.0,8.5,376.0,Good-Feel,E
1509,Skylanders Giants,X360,2012.0,Action,Activision,0.75,0.44,0.0,0.11,1.3,80.0,35.0,6.6,38.0,Toys for Bob,E10+
1510,SingStar '80s,PS2,2005.0,Misc,Sony Computer Entertainment,0.27,0.02,0.0,1.02,1.3,78.0,22.0,8.3,6.0,SCEA,T
1511,Romancing SaGa 3,SNES,1995.0,Role-Playing,SquareSoft,0.0,0.0,1.29,0.01,1.3,,,,,,
1512,Test Drive 5,PS,1997.0,Racing,Accolade,1.05,0.2,0.0,0.05,1.3,,,,,,
1513,Tekken 6,X360,2009.0,Fighting,Namco Bandai Games,0.71,0.41,0.05,0.12,1.3,80.0,59.0,7.0,132.0,"Namco Bandai Games America, Namco Bandai Games",T
1514,Assassin's Creed Syndicate,XOne,2015.0,Action,Ubisoft,0.62,0.56,0.0,0.11,1.3,78.0,22.0,6.1,402.0,Ubisoft Quebec,M
1515,Digimon World,PS,1999.0,Role-Playing,Namco Bandai Games,0.56,0.38,0.28,0.08,1.3,,,,,,
1516,Far Cry 4,PS3,2014.0,Shooter,Ubisoft,0.34,0.68,0.08,0.19,1.29,,,7.3,113.0,Ubisoft Montreal,M
1517,Pokemon Ranger: Guardian Signs,DS,2010.0,Role-Playing,Nintendo,0.5,0.16,0.58,0.05,1.29,68.0,25.0,8.2,25.0,Creatures Inc.,E
1518,LEGO Batman: The Videogame,PS3,2008.0,Action,Warner Bros. Interactive Entertainment,0.72,0.39,0.0,0.19,1.29,75.0,24.0,7.7,33.0,Traveller's Tales,E10+
1519,Mega Man Battle Network 3 Blue / White Version,GBA,2002.0,Role-Playing,Capcom,0.39,0.02,0.85,0.03,1.29,,,,,,
1520,Resident Evil Zero,GC,2002.0,Action,Capcom,0.54,0.27,0.45,0.04,1.29,,,,,,
1521,High School Musical 3: Senior Year DANCE!,Wii,2008.0,Misc,Disney Interactive Studios,0.67,0.49,0.0,0.13,1.29,,,,,,
1522,Crysis 2,PS3,2011.0,Action,Electronic Arts,0.46,0.56,0.06,0.21,1.29,85.0,54.0,7.2,406.0,Crytek,M
1523,Pirates of the Caribbean: The Curse of the Black Pearl,GBA,2003.0,Platform,TDK Mediactive,0.93,0.34,0.0,0.02,1.29,49.0,10.0,6.2,5.0,Pocket Studios,E
1524,Mario & Luigi: Partners in Time,DS,2005.0,Role-Playing,Nintendo,0.74,0.05,0.43,0.07,1.29,,,,,,
1525,Namco Museum DS,DS,2007.0,Misc,Atari,1.13,0.01,0.06,0.09,1.29,67.0,19.0,5.9,8.0,M2,E
1526,Deal or No Deal,Wii,2009.0,Misc,Zoo Games,1.2,0.0,0.0,0.09,1.29,56.0,4.0,5.0,5.0,Artefacts Studio,E
1527,Transformers,PS2,2004.0,Shooter,Atari,0.63,0.49,0.0,0.16,1.29,75.0,51.0,8.6,27.0,Melbourne House,T
1528,Dying Light,XOne,2015.0,Action,Warner Bros. Interactive Entertainment,0.86,0.3,0.01,0.12,1.29,74.0,26.0,7.8,387.0,Techland,M
1529,Fallout 4,PC,2015.0,Role-Playing,Bethesda Softworks,0.51,0.67,0.0,0.1,1.29,84.0,38.0,5.4,7512.0,Bethesda Game Studios,M
1530,Sonic Colors,DS,2010.0,Platform,Sega,0.69,0.47,0.01,0.12,1.29,79.0,26.0,7.9,66.0,Dimps Corporation,E
1531,Assassin's Creed: Rogue,PS3,2014.0,Action,Ubisoft,0.46,0.56,0.06,0.2,1.29,72.0,53.0,7.5,292.0,Ubisoft Sofia,M
1532,EA Playground,Wii,2007.0,Sports,Electronic Arts,0.68,0.47,0.0,0.13,1.29,66.0,32.0,7.6,30.0,EA Canada,E
1533,Midnight Club 3: DUB Edition (America weekly sales),PS2,2005.0,Racing,Take-Two Interactive,1.22,0.05,0.0,0.01,1.29,,,,,,
1534,Gold's Gym: Cardio Workout,Wii,2008.0,Sports,Ubisoft,1.1,0.03,0.06,0.09,1.28,,,8.4,13.0,Ubisoft,E
1535,The Elder Scrolls Online,XOne,2015.0,Role-Playing,Bethesda Softworks,0.78,0.38,0.0,0.12,1.28,77.0,11.0,8.4,613.0,ZeniMax Media,M
1536,Champions of Norrath,PS2,2004.0,Role-Playing,Sony Online Entertainment,0.63,0.49,0.0,0.16,1.28,85.0,51.0,8.4,57.0,Snowblind Studios,T
1537,LEGO Batman: The Videogame,PSP,,Action,Warner Bros. Interactive Entertainment,0.57,0.44,0.0,0.27,1.28,73.0,5.0,7.4,10.0,Traveller's Tales,E10+
1538,Yakuman,GB,1989.0,Misc,Nintendo,0.0,0.0,1.28,0.0,1.28,,,,,,
1539,Army Men 3D,PS,1999.0,Action,3DO,1.1,0.14,0.0,0.04,1.28,,,,,,
1540,Imagine: Wedding Designer,DS,2008.0,Simulation,Ubisoft,0.55,0.59,0.0,0.14,1.28,,,,,"Lexis Numerique, Virtual Toys",E
1541,Twisted Metal 4,PS,1999.0,Racing,989 Studios,1.07,0.16,0.0,0.04,1.28,,,,,,
1542,Manhunt,PS2,2003.0,Action,Take-Two Interactive,0.63,0.49,0.0,0.16,1.28,76.0,47.0,8.3,136.0,Rockstar North,M
1543,Need for Speed Carbon,Wii,2006.0,Racing,Electronic Arts,0.45,0.66,0.02,0.15,1.28,67.0,21.0,7.3,26.0,EA Canada,E10+
1544,Silent Hill 2,PS2,2001.0,Action,Konami Digital Entertainment,0.62,0.49,0.0,0.16,1.28,89.0,34.0,8.9,557.0,KCET,M
1545,Castlevania: Symphony of the Night,PS,1997.0,Platform,Konami Digital Entertainment,0.58,0.4,0.21,0.08,1.27,93.0,12.0,9.4,358.0,Konami,T
1546,Guitar Hero: Aerosmith,Wii,2008.0,Misc,Activision,1.03,0.14,0.0,0.1,1.27,73.0,16.0,7.2,19.0,Vicarious Visions,T
1547,The LEGO Movie Videogame,X360,2014.0,Action,Warner Bros. Interactive Entertainment,0.69,0.47,0.0,0.11,1.27,69.0,8.0,7.2,26.0,TT Games,E10+
1548,The Sims 2: Nightlife,PC,2005.0,Simulation,Electronic Arts,1.22,0.05,0.0,0.0,1.27,76.0,31.0,6.6,71.0,Maxis,T
1549,Dark Souls II,PS3,2014.0,Role-Playing,Namco Bandai Games,0.4,0.33,0.4,0.15,1.27,91.0,69.0,8.1,1107.0,From Software,T
1550,Kid Icarus: Uprising,3DS,2012.0,Action,Nintendo,0.48,0.35,0.36,0.07,1.27,83.0,75.0,8.7,487.0,"Opus, Project Sora",E10+
1551,Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012.0,Role-Playing,Nintendo,0.44,0.29,0.47,0.07,1.27,59.0,46.0,6.3,134.0,"Nintendo, Spike Chunsoft",E
1552,LEGO Batman: The Videogame,PS2,2008.0,Action,Warner Bros. Interactive Entertainment,0.72,0.03,0.0,0.52,1.27,77.0,8.0,8.9,17.0,Traveller's Tales,E10+
1553,Road Rash,PS,1995.0,Racing,Electronic Arts,0.71,0.48,0.0,0.08,1.27,,,,,,
1554,Atlantis,2600,1981.0,Shooter,Imagic,1.18,0.08,0.0,0.01,1.27,,,,,,
1555,NBA 2K9,X360,2008.0,Sports,Take-Two Interactive,1.0,0.16,0.0,0.11,1.27,84.0,32.0,7.2,44.0,Visual Concepts,E
1556,Tony Hawk's Underground,XB,2003.0,Sports,Activision,0.85,0.37,0.0,0.05,1.27,85.0,33.0,9.1,26.0,Neversoft Entertainment,T
1557,Hogan's Alley,NES,1984.0,Shooter,Nintendo,0.68,0.16,0.41,0.02,1.27,,,,,,
1558,Metal Gear Solid V: Ground Zeroes,PS4,2014.0,Action,Konami Digital Entertainment,0.45,0.47,0.17,0.18,1.27,75.0,70.0,6.2,1311.0,Kojima Productions,M
1559,Mystery Case Files: MillionHeir,DS,2008.0,Adventure,Nintendo,0.75,0.39,0.0,0.12,1.27,65.0,28.0,,,Griptonite Games,E
1560,.hack//Infection Part 1,PS2,2002.0,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27,75.0,35.0,8.5,60.0,CyberConnect2,T
1561,Jillian Michaels' Fitness Ultimatum 2009,Wii,2008.0,Sports,Deep Silver,0.96,0.2,0.0,0.11,1.27,30.0,4.0,2.0,23.0,3G Studios,E
1562,Valkyria Chronicles,PS3,2008.0,Role-Playing,Sega,0.71,0.19,0.24,0.13,1.27,86.0,60.0,8.6,433.0,Sega,T
1563,WWE '12,X360,2011.0,Fighting,THQ,0.74,0.4,0.0,0.12,1.27,71.0,52.0,6.3,89.0,Yuke's,T
1564,Sonic Adventure DX: Director's Cut,GC,2003.0,Platform,Sega,0.87,0.3,0.06,0.03,1.27,57.0,27.0,7.9,139.0,Sonic Team,E
1565,Jet Li: Rise to Honor,PS2,2004.0,Action,Sony Computer Entertainment,0.62,0.48,0.0,0.16,1.27,,,,,,
1566,Battle Arena Toshinden,PS,1994.0,Fighting,Sony Computer Entertainment,0.39,0.26,0.53,0.08,1.27,69.0,4.0,6.3,4.0,Tamsoft,T
1567,WWE '13,X360,2012.0,Action,THQ,0.72,0.44,0.0,0.11,1.27,78.0,46.0,8.0,110.0,"THQ, Yuke's",T
1568,Final Fantasy X / X-2 HD Remaster,PS3,2013.0,Role-Playing,Square Enix,0.43,0.36,0.32,0.16,1.27,85.0,50.0,8.5,332.0,Virtuos,T
1569,Need for Speed Rivals,PS3,2013.0,Racing,Electronic Arts,0.33,0.69,0.05,0.19,1.27,80.0,6.0,4.9,123.0,Ghost Games,E10+
1570,EA Sports Active 2,Wii,2010.0,Sports,Electronic Arts,0.76,0.39,0.0,0.11,1.26,79.0,8.0,8.1,22.0,EA Canada,E
1571,Rockstar Games presents Table Tennis,Wii,2007.0,Sports,Take-Two Interactive,0.39,0.72,0.0,0.15,1.26,68.0,36.0,5.8,21.0,Rockstar San Diego,E
1572,Devil Dice,PS,1998.0,Puzzle,THQ,0.05,0.03,1.1,0.08,1.26,,,,,,
1573,Football Manager 2011,PC,2010.0,Sports,Sega,0.0,1.01,0.0,0.25,1.26,85.0,23.0,8.4,77.0,Sports Interactive,E
1574,Brian Lara Cricket,PS,1998.0,Sports,Codemasters,0.02,1.13,0.01,0.1,1.26,,,,,,
1575,Championship Manager 03/04,PC,2003.0,Sports,Eidos Interactive,0.0,1.15,0.0,0.11,1.26,,,,,,
1576,Wheel of Fortune,PS,1998.0,Misc,Hasbro Interactive,0.99,0.22,0.0,0.04,1.26,,,,,,
1577,Tamagotchi Connection: Corner Shop,DS,2005.0,Simulation,Atari,0.1,0.02,1.12,0.01,1.26,59.0,20.0,7.7,6.0,NanaOn-Sha,E
1578,Tomb Raider: Underworld,PS3,2008.0,Action,Eidos Interactive,0.45,0.55,0.05,0.22,1.26,75.0,42.0,7.2,166.0,Nixxes Software,T
1579,Kung Fu Panda,DS,2008.0,Action,Activision,0.56,0.56,0.0,0.14,1.25,,,,,,
1580,LEGO Battles,DS,2009.0,Strategy,Warner Bros. Interactive Entertainment,0.77,0.37,0.0,0.11,1.25,65.0,29.0,8.9,51.0,Hellbent Games,E
1581,NBA Live 2001,PS,2000.0,Sports,Electronic Arts,0.7,0.47,0.0,0.08,1.25,86.0,10.0,8.0,6.0,EA Sports,E
1582,Saints Row IV,PS3,2013.0,Action,Deep Silver,0.56,0.41,0.09,0.19,1.25,76.0,26.0,6.3,278.0,Volition Inc.,M
1583,Star Wars: The Force Unleashed,PS2,2008.0,Action,LucasArts,0.49,0.0,0.01,0.75,1.25,68.0,7.0,7.4,33.0,Krome Studios,T
1584,Combat,2600,,Action,Atari,1.17,0.07,0.0,0.01,1.25,,,,,,
