Row Labels,Sum of QUANTITY (FAILS)
SUSC,570953
NLY,570293
PKKFFZZZZ,570068
YAC,570011
RYPPF,569411
SCHD,568812
EWN,568682
DRE,568577
CRMD,567188
YSAC,566948
FXZ,565926
NPA,565401
FSTWS,565167
AHPI,564465
ATDRY,564101
ZI,564053
RCON,563688
WCLD,563056
DBX,562378
TMTS,562070
ICLK,561908
EFG,561085
IINX,561037
FEYE,560576
IYR,560572
VRAY,560338
AMCX,560165
DWFI,559595
EXPFF,559258
ENLV,558121
THBRW,557820
DBEF,557071
SPYG,556248
MGTI,554683
FYX,554502
CDTX,554451
USO,554368
RMGBU,553929
DFPH,553824
SOGO,553629
ELAN,552713
TWCT,552587
ACES,552095
DX,551686
DKNG,551517
ARPO,551125
HHC,550522
AGCB,550453
NBACR,549920
H,549775
FLGT,549000
SNDX,548419
HEPA,547732
SHGFF,547672
RUBY,547554
TSJA,546946
BTKRF,546700
SUSL,545567
RPTX,545502
IQSI,545075
APRE,544886
NXTG,544829
SA,544303
MUB,543447
ET,543011
CLRMF,541865
FDNI,540893
EGPLF,540780
AYRSF,540744
ADMA,538204
SAP,537924
TRX,537751
ANDD,537550
PGX,537133
TIGCF,535718
NOG,535637
LX,534613
MEDP,534218
IWO,533933
AACTF,533606
USAT,533296
FNDA,532768
GTXO,532569
GTBP,532443
QTMM,531607
IVOL,531532
MOS,531525
IAU,531369
ACAM,531320
COGNY,530628
CTGL,530061
BNS,529746
KOSS,529737
ERESW,529709
CRCUD,529430
KBWD,529396
ACEV,528862
FOLGF,528459
KERN,528265
EPI,528229
KWACU,527491
ACEVW,527444
RRD,527394
TOKE,525541
RIINF,525115
SCHK,524931
SGAMW,524632
NBA,524302
STHC,524281
STM,524270
PAASF,522910
CWH,522169
SLCJY,521767
SNGX,521340
VYGG,521259
ALTUU,520423
CNTTQ,520145
BCLI,519555
VTDRF,519362
RODM,519313
HUSN,518912
OXBR,518563
FSTA,518459
ARTL,518253
HERO,518135
ANET,518015
BFGC,517684
OSTK,517410
GNRSW,516561
SPXSZZZZ,516423
MSFT,515824
AIRR,515645
MLSS,515514
RGT,515474
EDIT,514847
INDXF,514801
ICD,514706
HPE,513822
ONDS,513772
RBAC,513727
DGS,513571
NWBO,513527
IYW,513120
IGXT,513061
CRWD,512963
TFI,512560
IKTSY,512000
IHAK,511522
ARREF,510541
GOFF,509943
CCU,509866
OSMT,509109
IVAL,509002
CDEVY,508996
BKRRF,508717
ALSK,508467
ATHE,508444
EQOSW,508366
USEP,507730
AESEW,507334
PFM,507278
BHLL,507175
OMFS,506953
EWD,506461
MTUM,505957
RSASF,505534
IP,505349
FSMB,505288
BOXS,503589
PACEWS,503393
DVAX,503157
SNPRWS,502865
WU,501309
DKMR,500859
ASCK,500611
FCACW,500119
PSYC,499868
IGRO,499759
LBSR,499529
TXMD,499518
PT,499357
SILO,499293
SPSB,498595
QQQM,498419
MAR,498096
FSSN,497955
W120REORGPYMNT,497488
MDLA,497438
MXIM,497371
BLDR,496863
RMRDF,496809
NAT,496692
ZNTE,496683
SNAP,496004
HCARW,495756
TLRS,495384
TREVF,494468
ICVT,494099
DOW,494048
ATNM,493301
ASO,493152
SPG,493139
WFCPRA,492587
BHC,492395
SMMC,491484
TOBAF,491329
AGOL,491295
PRG,491226
ASLEW,490409
NCPCF,490000
DCRBW,489864
TFJL,489436
CLVRW,489172
LRGR,488994
BLIN,488875
SBRCY,488607
GUSH,488327
HTEC,488245
GERN,487394
GFGSF,487278
SCHO,487089
KIROY,486560
IHDG,486475
GGGOF,486039
BBSEY,485487
EEMMF,485178
NETE,484450
LFAP,484301
PRPBU,484020
CYDVF,484017
SGMO,484005
XOM,483958
BKR,483586
FRMA,483363
MTCH,482494
TKOI,482480
BETRF,482409
DLPNW,482277
TCLRY,482034
MIC,481953
AEO,480683
VERZZZZ,480512
TKC,480379
RAKR,480286
SKT,480149
BDORY,479812
GRSLF,479703
LTHM,479581
FCAC,478938
GEO,478557
PBSM,478334
CLGX,477562
ICNAF,477043
GTEC,476832
IHYF,476638
XXII,475946
CLRB,475719
WSTRF,475440
FGD,474720
GIKWS,474636
DTGI,474221
PGEN,474022
CSIQ,473942
HRVOF,473777
AVDE,473687
UAL,473494
ITACW,472403
SH,472079
BFCH,472062
XERS,471774
FPVD,471573
XLY,471389
RCD,470975
RAD,470959
COPX,470915
SUWN,469734
AQN,469361
DQ,469008
ARRY,468830
GTT,468670
ECEZ,468400
NCZ,467995
TYME,467964
YRBAF,467468
MGMLF,467442
MAXR,467100
COLD,466781
QSR,466680
PMVC,466372
LRN,466317
DFS,466082
VIR,465839
FST,465310
BEPC,464918
APAFF,464797
FNX,463789
CAPU,463759
EXBX,463553
OILFF,463517
IDRV,463467
IJAN,463259
QIWI,463211
TLTFF,462869
TCHP,462275
INFY,462062
CPE,461593
KBA,461452
CGLCF,461164
DIV,460983
TMTSW,460327
BLOZF,459714
WMB,459568
DEM,459277
CNSP,459043
MDXG,458933
XAIR,458679
GGB,458515
SVXY,458462
BE,458076
TRLFF,457411
AUMBF,457114
SOAC,457076
RVPH,456335
VIAC,455941
LAZRW,455646
TORVF,455141
NILSY,455089
PTI,454952
THCAW,454541
SSPK,453522
HTHT,453488
CHKAQ,452488
XERI,452467
BMOOF,452270
VYST,452007
WDDMF,451968
MGY,451960
NUEM,451812
TZAC,451442
MDMN,450986
GSPI,450772
JWSWS,450404
YOLO,450215
VCSY,450156
ALNA,449202
IYJ,449138
LUNMF,448056
BABYF,447966
RCHG,447646
PANAWS,447491
THRBF,447189
TGS,446563
ROOT,446451
FRAN,445719
VGTL,445002
OVL,443900
WRN,443522
MREO,443439
BSN,443067
IAI,442743
W,442256
IUSB,442181
RWJ,441938
HJLI,441897
ERMAY,441830
BIMI,441768
IGBH,441242
PETS,440615
CLX,439996
LNFA,439861
BATRK,439575
BRQS,439256
UWEFF,438872
BIDU,438301
SPLIF,436431
VMW,435903
VZ,435673
CTACWS,435424
DXD,435400
CCM,435268
PBA,435003
AFTM,434528
WPF,434327
FPE,434238
DHF,434191
CLNY,433998
ERRFY,433978
MAG,433428
NVGLF,432746
IYE,432650
WKSP,432610
CGEN,432608
ALLM,432286
PIPPWS,432122
U,432017
DIGP,431369
NBAC,431154
FEP,431081
MZDAY,430917
JNCE,430288
SPYV,430194
GNOGW,430074
ORAN,429899
REET,429746
QTRRF,429656
LLLI,429498
PCY,429382
EXC,429333
TDOC,428822
ORMP,428743
USMV,428584
CMPGY,427521
SYHBF,427219
ITP,427187
CLLS,427069
FSZ,426973
GLDI,426896
PDBC,426821
IPV,426399
CHA,425246
SPHY,424204
ASTC,423682
XLRE,423144
MLRKF,422539
BABA,422320
TDACW,422168
ENTEF,421975
SMTTF,421943
UCO,420935
GAU,420928
BSJP,420163
ABBV,420010
COBCF,419925
TTT,419266
SUPV,419114
AIM,419073
CHOOF,418912
QAI,418895
LGVW,418883
SQQQ,418612
IBUY,417784
FERGY,417625
TWTR,417507
ANTE,417141
IRM,417054
CBLAQ,416689
KBE,416166
SYY,415806
MMMM,415504
FAB,415502
TGP,415451
NNLX,415138
GCFFF,415092
TOT,414960
SOCL,414188
SSYS,414009
ERVFF,413712
NUAN,413535
VRSSF,412511
DUTV,412459
AFIF,412237
TRGGF,411980
MSRT,411596
DTEC,410667
FDL,409916
TACAU,409527
ERY,409321
CLSN,409168
SEGI,408677
PBR,408411
PROSY,408237
HPXWS,407672
WKEY,407504
MUDSU,407445
LUMN,407360
HAIL,406960
NGAC,406822
URNM,406552
ASPL,406530
CWIR,406436
GAZ,406329
MLPX,406220
MOXC,405717
CNC,405700
STAF,405686
IMIMF,405639
ANEW,405233
LIACF,404461
PLPRF,403673
AMBS,403626
NUGS,403310
HEC,402988
NGL,402627
PTY,402403
HYLB,402098
FVAL,401888
PIC,401621
APXTW,401289
SILV,401109
EVFM,400701
RNA,400241
DVYE,400222
GGISF,399632
SPTI,399454
NIU,399420
EGO,398999
SDVKY,398937
SNWV,398762
PSCE,398492
PEN,398435
CYRX,398200
DRCMF,398136
EBAY,397985
IXG,397978
MITJF,397778
LPSN,397492
VTNR,397262
BAB,396993
ATHPRD,396389
TRBO,396174
SINT,396081
IDTY,396054
BOTY,395910
OLLI,395770
CIK,395174
FTSI,394705
TRNE,394492
TGHI,394251
RETL,393251
ABNB,393092
TGIFF,392489
LMBS,392465
SBNYP,392130
NVNT,391746
ATAU,391437
NSCO,391412
DWAS,390985
GNRS,390882
XNET,390348
MAACW,390073
CWK,389853
ACRHF,389500
PNXPF,389352
MTL,389267
FTRI,389182
VIRI,388373
ACIO,388295
PCPLWS,388082
AR,387636
ONLN,387355
NULG,386961
WISA,386830
RSI,386776
DAL,386306
FRGAP,386144
NNN,386027
SKLZWS,385344
IACA,385008
MTCN,384894
TGA,384659
ALLT,384433
NRGMF,384215
PAYA,384145
FNMAP,383987
SRET,383867
SMB,383665
SGOC,383312
EPAZ,383175
BBL,383161
BFZ,382466
NXTTF,382464
RHE,382293
IVANU,382111
GNOM,382029
HMPQ,382022
SLQT,381246
FMAT,380938
IRBO,380918
FIIIW,380546
WHGDF,380479
LCA,380290
AHACW,379773
DWEQ,379625
SHOM,379570
KWT,379412
TBIO,378747
CEO,378231
VIZC,378059
ZS,377897
XIACY,377791
BFIIW,377600
KHC,377597
RBGLY,376983
KBNT,376946
CBAHU,376901
MS,376894
CWBR,376670
ACNDWS,375615
BAX,375595
NUMG,375414
MKD,375009
GAB,374979
IPOCU,374916
INNO,374619
FNI,374293
RYN,374248
XLWS,374122
DALI,374006
CLR,373974
WSC,373414
GSM,372864
EFR,372435
RHHBY,371922
ACND,371854
SLGG,371453
CERS,371394
DRRSF,371386
EQH,370709
PHIO,370336
LVVV,370024
PPR,369708
PRCH,369506
FTF,369395
VGSH,369032
LEMIF,368178
MYMMF,368114
ZUO,367800
SLLDY,367168
ENDO,367109
TCEHY,367005
ACY,366763
LTMCF,366744
TMXN,366665
SPWH,366558
ESPR,366457
XONE,366244
NUMV,365802
RVPHW,365695
PCLOF,365577
VTWV,365554
SHY,365243
XLSR,365028
EMD,364775
ITEQ,364517
VTI,363587
DCLT,363558
CRLBF,362891
JE,362684
IMO,362649
FTMDF,362608
AHAC,362546
ADIL,362390
CIT,362160
SHV,361968
XMHQ,361964
NUGT,361945
TJX,361621
RESN,361588
BGI,361531
IONS,361418
BVNNF,361318
SPSM,361089
CIM,360981
LYRA,360817
OSCV,360600
INIS,360370
CS,360225
GREK,359656
FLQL,359487
IDNA,359023
PXD,358526
BLKCF,358519
PSQ,358257
KSMTU,357441
UTSL,357233
DSX,356875
IQDG,356775
BLI,356690
PVCT,356366
KC,355937
MRIN,355627
PICK,355389
ELP,355235
BTI,355133
VIPRF,354995
NLS,354829
RJDG,354130
ORC,353993
CAAP,353857
IZRL,353543
CARS,353398
VICI,353267
CLVR,352983
NUBD,352623
DMIFF,352614
CLSK,352076
OMC,351819
OSW,351809
MNKKQ,351788
AA,351755
CANN,351694
POFCY,351437
AMMX,350937
CRM,350903
OPVS,350558
FTA,349512
LLNW,349056
UNSS,348979
ATRA,348398
IPVWS,347830
QUAL,346406
NSRPF,346360
ROL,346300
EURN,346181
EGHT,346166
OWUV,346116
BAESY,345347
ENSV,345193
VLNCF,344994
IEF,344852
FLEX,344851
OSSIF,344845
CREX,344657
ISCNF,344539
YEXT,343796
SPTS,343378
SAENF,343226
IPO,342931
RICEWS,342800
BLMN,342618
ELRFF,342513
HSDT,342412
BLILF,341980
ATIF,341964
SPHQ,341628
NVDA,341474
DWAW,340946
SLAB,340854
PSCT,340672
VIV,340237
PBBSF,340003
REAL,339899
AGIN,339657
MOSY,339405
SNRG,339104
BDRAF,339078
JNSH,338790
HACK,338406
HLYK,338351
HUSA,338133
IQIN,337729
AXDDF,337105
HSIC,336793
SQFT,336732
ASX,336379
GRSVW,336343
MTACU,336018
BSMM,335838
EWLL,335500
MOTNF,335427
PE,335318
EAT,335209
MILTY,335196
PBF,334982
DBSDY,334847
GOCO,334800
PGF,334339
CTIB,334228
CCACWS,333879
QCOM,333846
UNCRY,333781
LGHL,333482
URTY,333478
MILN,333424
CNABQ,333309
NTR,332998
MXROF,332965
DDNFF,332892
WES,332317
ARFXF,332259
TPIF,331757
GPFT,331552
HUGE,331490
OR,330297
CXW,330190
BYFC,330124
NBTX,330036
DIRV,329503
LTRPA,329378
BEEM,328789
ENPC,328074
GVAL,327864
MRM,327808
TRTC,327736
MEDS,327442
IPOOF,327296
FTSL,327225
SV,327224
IMPJY,327198
NXE,326939
FMIL,326906
NFRA,326661
FVANF,326648
BHF,326277
LLIT,326126
AZRH,325953
NGM,325526
LUV,325388
BSPK,325299
IYC,325012
AY,324842
CMLFW,324620
CLNNW,324413
SAND,324398
KERMF,324029
CDIX,323597
CPSR,323007
PLAY,322732
HAUZ,322729
SCTY,322384
GO,322172
NEBLQ,322079
PDSB,321495
DTEGY,321261
BSCQ,321035
EPOL,321009
IPG,320999
SOACWS,320510
IEI,320451
MDRPF,320203
HYFM,320023
MMRGF,319941
BVN,319897
KGEIF,319686
VTWG,319411
ROCCU,318837
MVNT,318740
TMV,318602
MSTR,318431
SFIN,318350
TOLWF,318328
HRL,318299
EJAN,317871
STIP,317390
SPXL,317316
BZQ,316608
EMPWWS,316287
PTA,316234
SAVE,315709
ENVB,315679
SHE,315635
ASDN,315592
CDXC,315474
NGMS,315471
WIMI,315442
GSK,315226
CIICW,314911
HYS,314675
CNI,314565
GDRX,314536
KGRN,314359
ENPCU,313939
GIXWS,313562
BBAX,313375
IWC,313221
IWF,313208
PSMG,312880
BZWR,312816
NRGO,312671
SIVR,312207
NSPRWS,311666
SEER,311666
PIFYF,311236
SUSB,311193
HIPS,311179
DBO,311032
BKYI,310886
SGLB,310870
HUSKF,310681
ACRX,310555
RTX,310504
AVTR,310006
CBIIF,309820
CPER,309158
FTEC,308928
BDR,308849
MDT,308423
LXXGF,308295
RTPWS,308290
FAM,308122
TGTX,307831
PTMN,307215
ICBU,307103
FOXA,306890
NRRSF,306819
NSFDF,306227
DCNNF,306101
RETO,305549
ABEPF,304722
VBK,304473
RVLV,304409
SNSR,304234
MGC,303827
DWUS,303452
FID,303348
FEZ,303188
BYRN,302960
SSRM,302824
YINN,302775
KMI,302552
LFER,302450
VBSCF,302387
TER,302169
MITT,301925
ORBC,301734
DBJS,301294
RGI,300929
TXN,300890
TWCTW,300782
ADGO,300746
KCDMY,300474
MNKD,300096
CLRYF,300000
SID,299861
ANGI,299798
SFT,299752
NTN,299686
RDSA,299641
TAP,299424
HIX,298986
AKTS,298714
WRAP,298484
EOLS,298472
HGEN,297884
NGTF,297878
BUD,297844
LNGR,297267
UA,297208
RIGMF,296970
SNANF,296948
DISH,296759
NYMT,296541
FDMO,296373
COP,295462
VKTX,295462
UJB,295185
AVUS,295069
ONCY,295057
ADIA,294983
CJJD,294708
VSDA,294680
E,294122
MAIN,293949
CATV,293842
OBNNF,293581
EDC,293456
F,293363
FAAR,293221
FTCVU,293163
FENG,292768
ATUMF,292502
EQDU,292154
CCRC,292070
KL,291890
RBACWS,291474
TEVA,291277
SLX,290737
CTMX,290719
EMHTF,290710
SIOX,290506
REGL,290505
SING,290287
MCHX,289987
MCEP,289964
CCOXF,289931
MTSL,289488
CSTM,289487
CATH,289015
AER,288883
ORA,288631
SBG,288507
GFI,288424
AMTI,288319
EPHE,288220
SQ,287849
HCHC,287815
NTOIY,287659
COF,287574
PROF,287573
COWZ,287570
TFC,287418
BSML,287417
FDBL,287194
LCG,286823
CX,286771
HPTY,286618
FTGC,286304
RCHGW,286265
UMH,285790
AEHR,285665
TCNNF,285521
CYH,285222
ROBT,285024
FSMD,284794
MFACWS,284628
DFEN,284013
RUHN,283912
RELI,283726
SDRLF,283601
BRG,283562
CQQQ,283371
BSCP,283084
ADXN,283045
BJAN,282959
AACAY,282920
OMID,282655
GWHP,282645
CLTS,282538
CREE,282452
AEG,282360
TUFN,281972
BSX,281964
MX,281863
DSGT,281496
BTCWF,281367
GLTR,281301
OSIIF,281274
STNE,281195
UBS,280947
MMMB,280832
TUR,280791
EQNR,280551
IBDP,280202
HLKMF,279972
GSS,279702
VHT,279588
XCUR,278649
FNDC,278123
OAS,278014
KCE,277887
ACWX,277873
AMLM,277739
VIS,277423
BGCP,277410
CPSRWS,276596
IYZ,276576
WYY,276071
WWE,275826
HEP,275758
LMGDF,275703
IBHC,275529
PTALF,275529
MRK,275441
CSCO,275133
UNM,274909
EEMX,274707
GMBL,274649
CCAC,274484
VFIN,274466
VBLT,274353
FGPRQ,274351
GCAN,273977
CRDF,273494
ILUS,273479
KAIRU,273378
APPN,273332
WMLLF,273121
EA,272661
BIOIF,272631
GDMA,271934
EVGN,271919
CSWC,271497
KSSRF,271497
PICWS,271352
PTEN,271206
BDXB,270647
CMRX,270593
AVDV,270445
SMLF,270155
HCDI,269434
PMEDF,269386
MMC,269120
OREAF,268822
OCFT,268649
CGA,268490
TRIP,268375
CRTIF,268367
AIQ,268283
RNWF,268253
QUBT,268247
DBC,267915
DELL,267894
LBTYK,267236
GATO,267157
ILHMF,266648
MOO,266197
GSSC,265400
MYIDF,265380
ISEE,264792
BPSR,264711
HLIX,264417
SPUS,263880
VVPR,263804
WPFWS,263582
NEXCF,263191
QGEN,262852
PIXY,262294
RAVE,262093
RGNX,261222
RWBYF,261200
DPST,261177
FLQM,261081
FV,261001
LGOV,260863
LTMAQ,260847
QPT,260834
MAKAF,260671
SMPL,260299
KORU,260253
TQQQ,260167
SSFT,260111
EXI,260007
ABEQ,259807
DOMO,259785
LTPZ,259737
FNMA,259469
OVTZ,259449
GARWF,258859
ELRRF,258804
MDVL,258483
NAV,258407
CBMJ,258110
REFR,257630
SMMCW,257533
ATNFW,257424
THM,257302
WNW,257095
OSH,257070
BVXV,256705
IWY,256473
VCR,256302
CRFTF,256267
TV,256019
ADOCW,255954
PHOT,255662
RADIW,255565
WEBS,255542
MHLD,255507
FLDM,255073
TEKKW,254909
EQHIL,254893
PCF,254859
THMO,254682
IBMK,254535
BIOC,254435
SCNA,254421
STEP,254420
FXC,254167
PSEC,254126
COG,254102
VERO,254031
KLIC,253965
DGNR,253829
DMS,253807
MGI,253650
VACQW,253629
PEMSF,253280
HWKE,252952
STLT,252761
IMMR,251833
PINS,251786
IHRT,251701
MRRTY,251260
ENRT,251028
USEG,250953
IIAC,250925
SONM,250899
GRUSF,250866
DYFSF,250713
CNHI,250627
IPNFF,250618
TKRFF,250222
LBUY,250186
MFH,250172
NOVS,250107
MUNMF,250068
LVCA,250000
UUU,249869
GDV,249601
WTHVF,249559
ASAN,249536
BFTU,249512
NVS,249417
MRVI,249397
NTDOY,249369
OPTN,249365
CHRW,249296
UDHI,249190
SSSS,249141
WRPSF,248989
BRX,248971
DSS,248962
PTH,248421
IUSG,248321
YGTFF,248236
QTUM,248147
VVOS,247998
CHIK,247791
RUN,247564
GILD,247414
UDEC,247307
COTY,246974
GSAHWS,246817
WSM,246459
APPS,246289
TATT,246208
IQDY,246112
FPX,246105
BNAUF,245958
PRN,245911
NUPMF,245220
FALN,245203
DWLD,244971
MITFY,244565
HEWG,244476
SVSVW,244286
VMACW,244176
LYV,243887
LCTX,243732
JYAC,243636
LIXT,243625
APTX,243276
PDACU,243104
JNPR,242962
NPAUU,242482
ORVRF,242296
URTH,242067
EUCG,241869
DTH,241802
MOTVU,241648
SSPKW,241593
GOACWS,241459
TVOG,241289
FIEIF,241285
MDYV,241221
ABEO,241209
NGACW,240915
TKXHF,240884
EVLLF,240606
EOG,240532
BTZI,240422
UNFI,240293
EXPC,240272
ELOX,240060
JIGB,240021
ZKIN,239818
SBS,239637
IPOFU,239382
LRSV,239280
JMST,239242
IBDO,239231
BRKB,239222
CKPT,239198
YYY,239128
IBDV,238881
HZACWS,238597
DKS,238543
FURY,238541
TTSRF,238495
CTACU,238437
FUNL,238377
SDG,238074
EMX,237765
EIGI,237251
GMDA,237241
DUDE,236701
PNC,236551
DPWW,236465
RELX,236242
SLVRF,236233
NOVSW,236096
ARGGY,236084
JFIN,235915
OWCP,235856
STPZ,235830
TD,235651
CFRUY,235459
RBSY,235453
ERIC,235447
DCRBU,235373
REV,235313
TOTL,234894
AUSVF,234830
FXO,234598
YRIV,234582
TRST,234335
CSB,234317
SIFY,234313
IGMS,234119
MDNA,234025
FHN,233987
BSMO,233442
FGM,233406
PSMMY,233117
BETZ,232841
BMBOY,232580
USDU,232314
REPH,232173
ENDP,232161
PDCE,232037
MACUW,231999
MAT,231886
YACWS,231886
BDN,231785
MEAR,231649
LIBFF,231418
BMY,231302
VOO,231280
LGFA,231263
EQAL,231199
SBGI,231159
OBELF,231125
PAA,230758
YTRA,230715
LFC,230555
OBSV,230552
SMMT,230325
TLS,230289
JPIN,230246
RMG,230055
TIPX,230022
SMFG,229831
DLTH,229679
ADRZY,229464
TDTT,229401
ALC,229398
LSEA,229225
IXJ,229088
GBBFF,228796
CNDU,228674
DNB,228599
LUKOY,228422
FLTB,228384
MPC,228247
LNFAWS,228214
CPSH,228173
ETRN,227667
IGIB,227658
ESGA,227549
NRVTF,227491
FQAL,227344
RLTR,227007
HYMB,226885
AU,226784
DIGI,226728
IONKF,226575
HFEN,226369
SPRE,226354
GMPW,225983
FNDX,225664
NGPHF,225632
UZE,224999
MOGU,224987
PAAS,224986
NNA,224965
FTI,224906
ESTC,224510
FUMB,223935
BK,223724
PZD,223714
HRTX,223568
FTWS,223562
KFVG,223203
EMEXF,223105
PALT,222962
NAIL,222950
TLSA,222621
FXF,222442
CHIH,222414
DXJ,222233
UDN,221951
CMCM,221711
WLTW,221707
MSP,221676
EXD,221585
FCG,221570
BILL,221452
AGTK,221404
HEFA,221365
SWI,221096
MRTN,220896
JNUG,220640
VJET,220622
LXRP,220531
TPX,220531
TT,220478
CBTG,220338
HNCKF,220304
VLY,220096
GAN,219748
SFRX,219667
SHTDY,219635
BTHR,219249
RWL,219201
IPAY,219067
SHM,218991
BKT,218863
EXPE,218841
NKE,218795
SNPE,218497
EFAX,218445
UNH,218302
ESPO,218130
ECH,217914
GLNG,217722
BAYRY,217629
AVCO,217520
WIX,217433
UPLD,217391
KOR,217296
GRFS,217282
MMX,217253
MMIT,217203
HL,217147
SRG,216774
SDPI,216591
VWOB,216585
MRWSY,216507
OKTA,215960
BIG,215783
PHGE,215627
MVV,215488
EDTXF,215141
TINO,215125
KBEVF,215020
NHIC,214684
GSUM,214683
MOV,214588
PTOP,214285
ENTX,214280
PNXLF,214241
REKR,214064
GPDB,213995
DBDR,213982
XAR,213957
VCNX,213927
AVEM,213874
VITL,213873
GHAV,213858
SIGIP,213584
IQM,213445
AERG,213222
ARR,213053
NMCI,213028
FPAY,212371
PRVCF,212304
NHICU,212058
LGVWWS,211758
SPNX,211707
WEC,211658
BEAM,211544
QQQE,211525
BBY,211236
HMENF,211178
BRN,211158
SAIIW,210910
LJPC,210896
BSAC,210744
RTM,210731
MU,210702
BCCEF,210650
UONE,210647
UJAN,210435
ZMDTF,210382
HNRG,210284
GBWS,210246
EPRF,210099
AUTL,210059
XSHLF,209911
MAAC,209877
AMRN,209824
PRSRU,209796
ALLK,209395
DINT,209394
PRPBWS,209268
CALF,209107
OCANF,208974
DFHY,208408
FCRD,208368
CAJ,208366
VSS,208360
HTOOW,208274
IMOM,208206
OCA,208095
PFI,208060
EMGF,208022
NUE,207981
HTGM,207979
UWM,207718
ORI,207678
AMLH,207637
MGK,207554
WTCZF,207322
MTP,207023
SOAN,206956
SCOR,206741
NEW,206542
FXB,206494
LRGE,206399
BAM,206183
FMB,205995
CCVU,205968
TCCO,205938
MSGN,205719
AEHL,205577
TWOU,205472
ANSU,205464
YCBD,205366
BRTX,205154
CANSF,205114
TIPZ,205067
MRSN,204934
VV,204867
HYHDF,204798
AEE,204678
EB,204209
UTG,204121
IRT,203849
KUYAF,203587
DANOY,203558
DOCRF,203409
DFNV,203390
BBIO,203318
GCOR,203102
CEQP,202812
FNDB,202758
ANPC,202630
IDHQ,202546
LOGI,202523
ERUS,202206
CTK,202178
VVCIF,202058
NTSX,201608
SLSDF,201561
MEOH,201280
AUSAF,200966
SPD,200891
CHGX,200719
IR,200440
HAPP,200223
LPRO,200202
IJT,199950
TXHE,199928
FOCT,199768
JEPI,199653
INDO,199528
VERI,199396
FXD,199360
USBPRH,199235
XSD,199192
EVK,199135
VTV,199097
CGNH,199027
SDRC,198830
BNGOW,198793
FNY,198647
IBHF,198625
ACOPY,198603
MXSG,198599
RNECY,198271
FMTX,198075
ITM,198069
BMRA,198059
OUSM,197889
NUSI,197758
SGTPY,197744
NTEDY,197735
ADME,197692
REZ,197553
SSUS,197348
PGRE,197277
RYMDF,197222
YNVYF,196893
SBSW,196891
OIH,196713
WEDXF,196692
QQEW,196541
MRACU,196507
CARR,196335
W112REORGPAYMNT,196159
GIL,196102
NES,195991
VWAGY,195746
BCII,195738
EV,195575
QRHC,195564
ORLY,195450
CAG,195432
MPW,195354
ASEA,195221
CNXC,195157
HLAL,195155
BMTXWS,195047
SEOVF,194950
AMMJ,194733
AEY,194573
IMAB,194549
SCEPRH,194202
PED,194139
WYNN,194132
LUXAW,194062
EWL,193802
BLGO,193784
ORZCF,193538
GTYHW,193517
IBM,193413
ATVI,193244
ECNS,193097
HX,193077
AMYT,193046
CBLI,193035
CFIIU,193026
SOBKY,192910
UPIN,192880
BNDC,192878
CGRO,192846
ZG,192542
CHKKF,192305
SAMA,192246
SMTS,192150
GIGE,192008
SRLN,191936
FRDM,191830
VTHR,191736
WSCRF,191705
TOMDF,191697
ANY,191489
DEHWS,191423
ETST,191340
IBHD,191339
EZA,191323
SGAMU,191295
RNGTF,191111
HFFG,191009
CYBNY,191001
ZNTL,190986
IEIH,190940
LC,190926
MOTS,190811
MAKSY,190727
SSREY,190716
REMX,190707
IPFF,190648
DMYDWS,190390
GNLPRB,190268
CNFR,190245
KURE,190191
KBSF,190145
DFHTW,190125
ALTR,189863
SCHQ,189835
CHEKZ,189611
ROKU,189589
FDIT,189439
MCK,189356
USIO,189208
JMOM,189171
ON,189154
KRMD,189077
BTIM,188921
AWH,188883
ARQT,188769
NML,188419
BNR,188368
APM,188280
AGC,188206
VIDI,188131
AVYA,188039
FDLO,187916
OXBRW,187784
APT,187401
SPFRU,187129
HCAR,186737
NTNX,186731
TM,186664
PICB,186510
CLDR,186359
WETF,186321
STRR,186184
HEI,186046
FB,185811
FGPR,185771
YGMZ,185661
RTOKY,185462
PLM,185461
RGLSF,185454
PLSDF,185431
FAST,185421
MLWN,185230
MITI,185223
SLG,185127
QDROF,185078
BTUMF,185065
XSVM,185013
QABA,184917
TRUE,184739
GTII,184725
VCEB,184718
ENKS,184698
SQZZF,184673
TSM,184436
RWK,184382
FISOF,184373
HTRB,184348
ASLN,184309
WOOD,184279
KRBN,184181
KKRPRC,184055
CELZ,183745
JKK,183633
SFYF,183607
BCAB,183482
EPP,183310
VGIT,183166
PLAG,183062
IWB,183008
SPHD,182909
SQNS,182808
ESSCW,182676
KNTE,182637
SGPYY,182619
STX,182608
TADS,182514
DFIFF,182445
FOUR,182344
WGEI,182329
XTN,182233
BACPRO,182218
CURO,181878
PHR,181788
GB,181766
ITAC,181689
MHTX,181639
BQ,181630
NHS,181594
SMDZF,181266
RYTM,181233
MGDDY,181198
LHCU,181181
TEAM,181048
TGC,180806
ECON,180510
CPHI,180479
CVX,180467
AMRHW,180269
DSAC,180139
MSN,179928
NSAUF,179925
GENMF,179873
CCEP,179737
OACBWS,179666
OMEX,179530
RYLD,179485
NXTFF,179484
OTRAW,179337
NNUP,178986
AVCTW,178959
TIF,178704
PHAS,178675
INTZ,178638
BSCT,178536
HMCOU,178483
CPPKF,178480
HYD,178445
TFECY,178439
AMBO,178313
